,calls,clauses,epochs,ind_vars,models,samples,time,time*,tu/tq,ug_samples,valid,vars
aki3068net,34.0,3080.0,0.0,0.0,31485454963920208054558280086907523160934839609529086554576599506069434220826706450214316610420103414869008409925245208080,516551.0,36.9,1234.8,0.0,0.0,0.655,1207.0
pc_vmWare,36.0,3174.0,0.0,0.0,2943205104036253854536669458385295189350684345476822510226946906879738883079765204207109889772778240909447817099528783779110800,505002.0,35.7,1255.2,0.0,0.0,0.685,1255.0
sleb,34.0,3009.0,0.0,0.0,1193965566663859134973685220280349792789171080086920325827381837380911994879916618361588029860721019380751110364244942800,502533.0,33.6,1154.8,0.0,0.0,0.663,1188.0
eb55,39.0,3882.0,0.0,0.0,301734715727462260059076296893642204373830880207665530473120635919317710296476497778808221124681460383874926122552230596314640,609304.0,30.3,1084.2,0.0,0.0,0.787,1270.0
vads,36.0,3235.0,0.0,0.0,2912181243739972266287508365657611660488448454974248661362563895749885749951515776635166845237087694052687786984385768722997200,553838.0,35.5,1325.0,0.0,0.0,0.663,1240.0
ref4955,37.0,3099.0,0.0,0.0,8203198042416968764079367091185189410943931043684647241651574451763954390208350344320638479971108519696005910647887522258800,518335.0,26.0,955.3,0.0,0.0,0.869,1218.0
se7751,35.0,3254.0,0.0,0.0,1117583236770714575536766010511043269421454969801518650635423930259906418246288176200123884300864605865018096537192858720944199304720,518230.0,40.5,1442.2,0.0,0.0,0.602,1295.0
aaed2000,37.0,50512.0,0.0,0.0,28254010094088232967411816089608956039184394124128268343571924395124352345386025802638259993786106102905002982887012648528865320706000,574346.0,45.9,2764.0,0.0,0.0,0.608,1284.0
iq80310,39.0,3821.0,0.0,0.0,49804367378825634054504490063233589242473605730220816875319525222729779715941517641067126138911163800540225148212478237101997600,598235.0,28.9,1129.4,0.0,0.0,0.79,1258.0
brutus,38.0,3754.0,0.0,0.0,147716404586570259079951396519713177887358861225196111086326405665959910301945142498293459310940461293079818203566733467600,506587.0,30.8,1082.8,0.0,0.0,0.804,1221.0
pc_rltk8139,37.0,3179.0,0.0,0.0,68828858795593272775087198413550031298528017967450084458769636009174082553737531810835159366561567882437931609117903009862950800,550904.0,31.5,1148.7,0.0,0.0,0.792,1257.0
